"Date and Time","PM<sub>10</sub>","PM<sub>2.5</sub>"
"2025-04-10 01:00:00",11.13,4.49
"2025-04-10 02:00:00",11.65,4.68
"2025-04-10 03:00:00",11.73,5.28
"2025-04-10 04:00:00",12.63,5.47
"2025-04-10 05:00:00",12,5.33
"2025-04-10 06:00:00",9.88,4.53
"2025-04-10 07:00:00",8.63,3.94
"2025-04-10 08:00:00",17.53,6.83
"2025-04-10 09:00:00",19.42,7.26
"2025-04-10 10:00:00",18.45,7.01
"2025-04-10 11:00:00",14.05,5.42
"2025-04-10 12:00:00",13.27,5.2
"2025-04-10 13:00:00",13.08,5.15
"2025-04-10 14:00:00",13.3,5.2
"2025-04-10 15:00:00",14.02,5.51
"2025-04-10 16:00:00",12.75,5.25
"2025-04-10 17:00:00",12.95,5.42
"2025-04-10 18:00:00",13.47,5.55
"2025-04-10 19:00:00",11.87,4.89
"2025-04-10 20:00:00",14.07,5.54
"2025-04-10 21:00:00",14.68,5.79
"2025-04-10 22:00:00",18.58,6.81
"2025-04-10 23:00:00",17.03,6.46
"2025-04-11 00:00:00",15.75,6.31
"2025-04-11 01:00:00",16.18,6.47
"2025-04-11 02:00:00",12.92,4.99
"2025-04-11 03:00:00",12.2,4.76
"2025-04-11 04:00:00",12.85,5.04
"2025-04-11 05:00:00",13.63,5.61
"2025-04-11 06:00:00",13.35,5.61
"2025-04-11 07:00:00",12.47,5.35
"2025-04-11 08:00:00",15.88,5.69
"2025-04-11 09:00:00",31.45,10.78
"2025-04-11 10:00:00",30.55,9.93
"2025-04-11 11:00:00",17.95,5.5
"2025-04-11 12:00:00",18.12,5.54
"2025-04-11 13:00:00",17.57,5.94
"2025-04-11 14:00:00",12.33,4.71
"2025-04-11 15:00:00",13.17,3.83
"2025-04-11 16:00:00",10.7,4.02
"2025-04-11 17:00:00",11.6,4.38
"2025-04-11 18:00:00",12.73,4.21
"2025-04-11 19:00:00",10.77,4.28
"2025-04-11 20:00:00",10.03,3.46
"2025-04-11 21:00:00",10.18,3.63
"2025-04-11 22:00:00",10.05,3.69
"2025-04-11 23:00:00",10.6,3.89
"2025-04-12 00:00:00",11.45,4.26
"2025-04-12 01:00:00",11.03,4.19
"2025-04-12 02:00:00",9.75,3.7
"2025-04-12 03:00:00",8.87,3.65
